特征,相关性,绝对相关性
起火物类型_光伏发电设施设备,-0.0009758736626569589,0.0009758736626569589
引火源_电线故障,-0.0009758736626569588,0.0009758736626569588
起火物_取暖器,-0.0009758736626569586,0.0009758736626569586
起火物_烟花盒,-0.0009758736626569585,0.0009758736626569585
起火物_净化器,-0.0009758736626569584,0.0009758736626569584
起火物_笔记本电脑,-0.0009758736626569582,0.0009758736626569582
引火源_切割机,-0.000975873662656958,0.000975873662656958
起火物_电动轿车,-0.000975873662656958,0.000975873662656958
起火物类型_肥料,-0.0009758736626569579,0.0009758736626569579
起火物_电池单体故障,-0.0009758736626569579,0.0009758736626569579
起火位置_会议室、接待室、区,-0.0009758736626569579,0.0009758736626569579
引火源_移动电源,-0.0009758736626569577,0.0009758736626569577
起火物_变压器电线,-0.0009758736626569577,0.0009758736626569577
引火源_发动机线路,-0.0009758736626569576,0.0009758736626569576
引火源_电焊焊渣,-0.0009758736626569576,0.0009758736626569576
起火物_电子配件,-0.0009758736626569574,0.0009758736626569574
引火源_汤锅,-0.0009758736626569571,0.0009758736626569571
起火物_床板,-0.0009758736626569571,0.0009758736626569571
起火物_照明灯具,-0.0009758736626569571,0.0009758736626569571
起火物_按摩椅,-0.0009758736626569571,0.0009758736626569571
起火物_衣物杂物,-0.000975873662656957,0.000975873662656957
起火物_废旧杂物,-0.000975873662656957,0.000975873662656957
引火源_艾灸,-0.0009758736626569569,0.0009758736626569569
起火物_废纸,-0.0009758736626569568,0.0009758736626569568
起火物_燃油客车,-0.0009758736626569568,0.0009758736626569568
起火物_电动工具锂电池,-0.0009758736626569567,0.0009758736626569567
起火物_电单车电池,-0.0009758736626569565,0.0009758736626569565
起火物_蒸饭柜,-0.0009758736626569564,0.0009758736626569564
起火物_台灯,-0.0009758736626569561,0.0009758736626569561
引火源_设备故障,-0.0009758736626569561,0.0009758736626569561
起火物_书籍,-0.000975873662656956,0.000975873662656956
起火物_电梯,-0.0009758736626569559,0.0009758736626569559
引火源_发动机过热,-0.0009758736626569559,0.0009758736626569559
起火物_电动玩具车,-0.0009758736626569558,0.0009758736626569558
引火源_接触不良引起电火花,-0.0009758736626569557,0.0009758736626569557
起火物_环卫车,-0.0009758736626569557,0.0009758736626569557
起火物_电子产品,-0.0009758736626569557,0.0009758736626569557
起火物_刹车皮,-0.0009758736626569556,0.0009758736626569556
起火物_阳台杂物,-0.0009758736626569555,0.0009758736626569555
起火物_设备,-0.0009758736626569555,0.0009758736626569555
起火物_LED灯,-0.0009758736626569554,0.0009758736626569554
起火物_废电池,-0.0009758736626569551,0.0009758736626569551
引火源_摩擦性机械火花,-0.000975873662656955,0.000975873662656955
起火物_废弃床垫,-0.000975873662656955,0.000975873662656955
起火物_办公桌,-0.000975873662656955,0.000975873662656955
起火物_纸屑,-0.0009758736626569547,0.0009758736626569547
起火物_防水材料,-0.0009758736626569547,0.0009758736626569547
起火物_塑料管,-0.0009758736626569546,0.0009758736626569546
起火物_汽油,-0.0009758736626569545,0.0009758736626569545
起火物_海绵,-0.0009758736626569543,0.0009758736626569543
起火物_吹风筒,-0.0009758736626569543,0.0009758736626569543
起火物_垃圾、废弃物,-0.000975873662656954,0.000975873662656954
起火物_干锅,-0.000975873662656954,0.000975873662656954
起火物_电熨斗,-0.0009758736626569539,0.0009758736626569539
